folder,ruler_length
EX4_ID,30
EX4_S1/C_LESS_2,20
EX4_S1/FC_LESS_3,20
EX4_S1/FC_MORE_2,20
EX4_S1/FC_MORE_3,20
EX4_S1/PC_MORE_1,30
EX4_S1/PC_MORE_2,20
EX4_S2/C_LESS_1,30
EX4_S2/C_MORE_1,20
EX4_S2/FC_MORE_1,30
EX4_S2/FC_MORE_2,20
EX4_S2/FC_MORE_3/,20
EX4_S2/FISH_MORE,30
EX4_S2/PC_,20
EX4_S2/PC_MORE_1,30
EX4_S2/PC_MORE_2,20
FISH_CAMERA_S3,30
